;Comentario
425;Pessoal mal sabe que a BlackRock desenvolveu um algoritmo nos anos 90 (será uma IA?) que dominou o mercado e permitiu ela se tornar o maior fundo do planeta. Até o FED usa o Alladdin (algoritmo dela) e o pessoal se espanta com o ChatGPT.
426;O irônico é que eu conheci o Ulrich exatamente por causa de um canal de gaming. Que usava suas informações econômicas pra explicar a escassez das placas de vídeo durante mineração das cryptos.
427;Excelente vídeo , como sempre, mas este destoa , por revelar realmente,  o momento de transição que estamos passando .A maioria das pessoas não tem consciência do salto que estamos dando .Disruptivo.
428;Obrigado pelo vídeo!
429;Caracas viajei no futuro, vi coisas sinistras e extraordinarias 😱
430;Aposto uma nota de zero euro contigo que alguma empresa fará Asic para rodar IA em menos de 3 anos. 💶
431;pode ser a onda do futuro, mas que cansa ouvir todos falando o tempo todo disso, cansa! exatamente como era o lance do metaverso, o qual pouco se ouve hoje em dia...
432;ChatGPT é revolucionário realmente. Fazer programas web se tornou possível a qq um q possua um mínimo de conhecimento de programação. Aliada à programação de alto desempenho das GPU's NVIDIA, que são autênticos clusters compactos, poderemos presenciar uma revolução tecnológica em breve.
433;Mano o vício dos americanos em elevar preço de ações é meio bizarro, aqui no br a gente já fez esse tipo de coisa com algumas ações tipo magalu ou nubank, mas eles são viciadaços nisso kkk, quando eles chegassem em 100bilhões defaturamento e ebitda de 60% ainda estaria meio carinho mas já estaria razoável, mas 20 bilhões de faturamento é caro demais, demais mesmo kkk, os caras precificam um preço que seria caro até pro resultado mais celeste possível, é surreal.
434;Sempre tem algo pra tapear a recessão nos eua, dessa vez nvidea carregando o mercado financeiro mas costas. Ano passado metaverso....esse ano IA.....o que ano que vem pra desviar atenção?
435;E vai se criando mais uma bolha de tecnologia, de bolhas em bolhas o setor de tecnologia vai fodendo e revolucionando o mundo.
436;thanks very much
437;cheersss
438;Eu fico muito feliz em ver a Nvidia crescendo dessa forma. Ela sempre foi muito boa em que faz.
439;"Bom dia!

Muito desse buzz na Nvidia, na minha humilde opinião, é pq ela não tem concorrente real no mercado de AI.

A AMD foi mencionada, mas qq um que trabalha no ramo sabe que AMD é uma “alternativa para inglês ver”. O seu hardware não é realmente usado no setor de AI por vários motivos técnicos.

A realidade é que, atualmente, no âmbito de Redes Neurais e afins, ou é Nvidia, ou é Nvidia.

Existe algumas (várias) empresas querendo competir nesse segmento, como por exemplo a GraphCore, mas elas estão ainda milhas e milhas e milhas além de ser comparável a Nvidia.


O que eu me pergunto, contudo, é se a China não irá tentar criar uma Nvidia-chinesa para competir. Eles controlam a produção e sentem de fato esse mercado dominado pelos USA. Somado às declarações recentes de Beijing em “precisamos motivar empresas Web3 aqui” (que são fortemente baseadas em GPUs, como mencionado no vídeo), me perguntam se eles não irão tentar fazer alguma alternativa chinesa assim como UK está fazendo com a sua alternativa britânica a.k.a GraphCore.


Do ponto de vista técnico em AI, faz alguns anos que há uma ideia persistente de ir além da computação paralela de GPUs e projetar hardwares que executam as principais operações de redes neurais direto em hardware. Um ASIC para redes neurais. Como forma de acelerar ainda mais o processamento para essa nova era da computação. Um caminho que noto certa resistência da Nvidia em mergulhar de cabeça, talvez pelo fato de seu mercado ter sido majoritariamente games até então. (Como mencionado no vídeo)

Nessa vida, não tenho certeza de absolutamente nada. Apenas dando a observação para a vossa apreciação. Façam com essas palavras o que os senhores bem entenderem!


Abraço."
440;Vale lembrar que a China não reconhece Taiwan como independente. Um susto e as ações da nvidia desaba.
441;Estou com poucas ações da Nvidia, agora vou retomar os aportes. Obrigada pela excelente atualização da empresa 😊😊
442;Me vem a cabeça - The Singularity Is Near :)
443;Ou seja, mais uma vez o Lula vai contar com um fenômeno de crescimento econômico e sair como herói do Brasil.
444;Faltou considerar o efeito Alexandre de Moraes sobre o uso desses recursos aqui no Brasil. Ainda se vai querer controlar as deduções do ChatGPT. A conferir.
445;Existe um estudo sobre decalagem cultural, que é o fato da technologia melhorar, mas a ética, principios e valores não melhoram. O mundo está vivendo em denial (negação). Pouca gente consegue ver que nosso planeta está seguindo para a terceira guerra mundial. O capitalismo tem crises ciclicas e a proxima está chegando. A technologia está fazendo nosso mundo melhor? Tem 3 problemas que a technologia não pode resolver. A maldade humana, a dor humana (fisica e mental) e a morte. Os avanços technologicos são feitos para fins militares.
446;"O que eu não entendi foi você ter feito um case fantástico desse e ainda assim ter falado que não investiria nela. 😅
Realmente fiquei curioso pra entender seus outros motivos para ficar de fora."
447;"RETIFICANDO(pro Ulrich): Os programas de edição de Vídeo não usam muito o processamento das placas gráficas durante o trabalho, ainda que ajudem na hora de exportar o vídeo. Os programa de edição usam muito mais a CPU. 
As placas de “vídeo” são na verdade placas de processamento 3D em tempo real."
448;Nao vai porque já nasceu fraudada com bias de programação para dizer o que eles querem que a máquina diga. Vai gerar mais dezemprego, o que k mundo nessecita e uma revolução moral, computador mais rápido mas queremos algo abras os olhos do povo que  tem medo da verdade
449;Isso liberalzinho, comemora as evoluções das IAs, ''' é muito bom pra humanidade'' kkkk impressionante, como esses youtubers liberais são completamente tapados......Ulrich é o famoso vendedor de sonhos, me lembro dele falando das NFTs kkkk
450;"Quanto mais longe do centro da mandala, mais distante da Verdade Única: 
"" homem, conhece a Ti mesmo "" 
A ânsia por "" novidades "" é o sinal mórbido da juventude de um povo. 
Não há nada de novo [que REALMENTE possa ser de Valor REAL ]  debaixo do Sol.
Tudo que tinha que ser dito, já foi dito, mas como ninguém escuta, é preciso estar sempre repetindo, repetindo, repetindo, ...Ad nauseam"
451;"Sócrates nos mercados de Athenas : 
"" (...) de quantas coisas não tenho necessidade  ... 🤔 """
452;"Amo tecnologia,  ela mudou a vida na Terra para melhor, mas hoje eu me preocupo, principalmente quem pode colocar as mãos nela.
Até hoje para você dominar processos tecnológicos necessitava pessoas treinadas, disciplinadas com essa nova revolução qualquer um pode fazer coisas incríveis...e aí vem o problema, meu medo são os políticos, organizações criminosas e ideologias extremadas."
453;Show
454;😊
455;Esse ceo da Nvidia é um vendedor de sonhos. Tenta qualquer um planejar e fazer um software, mesmo um bem simples para ver se vai sair. Detalhe, precisa de programador para fazer a inteligência artificial. Kkkkkkkkkkkk.
456;"De fato, sobre o Bitcoin ser a moeda global por enquanto não passa de um valor *possível* ao invés de um *provável*, como seria o caso das I.A. No entanto, esse fator possível se refere apenas ao termo de moeda global, porque de moeda funcional e ativa pelo globo ele já é há alguns anos. Por isso ainda não acho que valha comparar essa tal possibilidade do Bitcoin com essas pika de metaverso. 

E vale ressaltar também que as I.A são sim de extrema importância para a produtividade da humanidade, mas nem de longe isso seria a prioridade. A prioridade da resolução dos problemAs está na base. Na base da ética do dinheiro que é basicamente a religião do mundo. Enquanto existir essa moda de grupos estatais mandarem e desmandarem na vida de todo cidadão através do dinheiro, roubando-os através de impostos e inflação, impedindo que inovações surjam, impedindo a liberdade do cidadão, nada disso adianta muito. Bitcoin é muuito mais relevante."
457;Com apenas 10 meses de bolsa e muito estudo todos os dias, estou neste momento com 160% de lucro no BDR NVDC34 (preço médio de R$ 16,32 e preço do case hj de R$42,00)…Agradeço aos “professores” Ulrich, Charles Wicz (economista sincero), Barsi, Buffet e mais alguns outros, por me proporcionar esse conhecimento ….só a educação e estudo salvam 😃
458;la vai minhas RTX subir de preço 3x pra subir o ganho deles pra condizer com o valor de mercado.............
459;A Cathie Wood investiu na NVídia tempos atrás e estava corretíssima.
460;Dale Tio Sam😂😂😂😂
461;Esse espião chinês (CEO da NVIDIA) está com um papo muito de vendedor.
462;Para quem fica babando a china, se lembre a IA, nasceu nos Estados Unidos  e la são  aonde e mais usados
463;será fogo de palha: para produzir as respostas certas, as pessoas precisam ser educadas para saberem fazer as perguntas corretas para a inteligência artificial. Vejo como um grande risco da IA manipular a humanidade em algum momento....levar ao exterminio.
464;"Na minha visão,vai acontecer a mesma coisa que aconteceu com o metaverso. Daqui uns meses as pessoas se darão conta que gpt é apenas uma facilidade que outras já fazem e que essas ""IAs"" só retiram conteúdos, às vezes falhos e distorcidos - e isso não será aperfeiçoado. Então, a bolha vai estourar ou murchar."
465;Estados Unidos  não para iniciantes 😂😂😂😂
466;"Na boa, nada me tira da cabeca que IA vai ser no brasil um belo desemprego gigantesco!!!! Prepararem se 




Apenas minha opinião 😅"
467;Isso vai dar merda no futuro. Escreve isso numa placa de prata e coloca na parede.
468;Em verdade: FED jogou empréstimos como fez com bit…coin, Uber e etc.. os fantoches e escravos americanos vão ter que rebolar para usar isso kkkk 5 anos para quebrar.
469;As sardinhas piram e compram na máxima da nvidia 😂
470;Eu apostaria nos pares da Nvidia.
471;Provavelmente com certeza absoluta.😄
472;O poder de uma IA ajudar alguém que nao sabe programação e bem limitado, fiz alguns testes com mentorados na empresa, e nao foi muito bom os resultados, usando basicamente o chatgpt. Em resumo, serviu mais com ferramenta de pesquisa do que ferramenta de geração de codigo funcional. Porém quando a pessoa tem alguma experiência com programação a IA ajudou a gerar códigos básicos e que seriam repetitivos de se escrever, mas mesmo assim não foi um codigo totalmente funcional, precisou de pequenos ajustes.
473;"OS CARAS NÃO CONSEGUEM NEM RESOLVER UM PROBLEMA DE UM BOT NOS COMENTÁRIOS KKKKKK
E tão falando em inteligência artificial.."
474;"+ uma pilantragem para  transferir renda para vaporware..
Enquanto isso ninguém corta a grama e os doentes se acumulam foram dos hospitais na fila"
475;"Acredito que o Bitcoin possa vir a ser considerado por muitos como uma ""reserva de valor"" no futuro, mas atualmente não é visto dessa forma. O Bitcoin ainda representa um ativo de risco, com alta volatilidade e ainda muito ligado ao Mercado Financeiro Tradicional Mercado, como S&P 500, taxas de juros do governo, até taxas de desemprego impactam diretamente no preço do bitcoin, entre outros..."
476;Quem assistiu o filme o exterminador do futuro sabe como essa história termina ❕
477;Acredito q esse boom teve mais relação com a liberacao de testes em humanos do Neuralink do anticristo. 😮
478;"Os investidores estão líquidos ... 
Quando saiu algo sobre inteligência artificial... Começo d ano... Tudo subiu muito .. 
Mercado crypto mesmo... Eu fiz 15x com A agix... 
Fiz mais de 80k de lucro...."
479;É a SkyNet, quer sair das telonas para virar uma realidade.
480;Imagina o poder da IA que roda em segredo e bem longe da população?
481;Mais uma bolha se formando. quem ja tava comprado antes sugiro sair agora pra sair no lucro
482;O que mata o seu otimismo é a hegemonia socialista no ocidente. Socialistas atuam contra esse progresso tecnológico e preferem a população vivendo na pobreza.
483;O Chat-GPT está fraco quando se trata de filosofia, literatura, história (ciências humanas) e apresenta viés comuno-globalista.
484;Confiar na palavra do CEO da Nvidia sobre o que será o futuro da tecnologia é no mínimo ingênuo..
485;Market cap=50x receitas⁉️
486;Por onde anda a Radeon?! Sempre preferi Radeon na placa de vídeo e AMD no processador. Geração Quake e CS here. Haha
487;Fernando vc estudou em alguma universidade de prestígio international?  Harvard  Cambridge MTI ?
488;"Não é só Inteligência Artificial.

Com a ""morte"" da lei de Moore, com os transistores chegando nos seus limites de miniaturarização, a solução são chips desenhados pra propósitos específicos. GPUs são um exemplo desses Chips, mas também temos FPGAs, o processador M1 da Apple, os TPUs da Google e até os chips para minerar Bitcoin"
489;Eu aqui full pistola com o lançamento lamentável da série 4000 e a NVidia chegando a 1 trilhão kkkkkkk
490;Como dizia um velho doido: a tecnologia vêem e cria novas possibilidades, te liberta e torna mais produtivo pra pouco tempo depois te tornar dependente e escravo da mesma.
491;As ações da AMD talvez estejam em crescente também
492;Negocio é comprar AMD
493;"19:20 ehhhhh nao.... blockchain nao seria um ganho de produtividade para bancos ou os proprios usuarios? abreviando tarefas de gestao de contas, removendo intermediarios? acho que o fernando se perdeu bonito ai. Nao desmerecendo o boom das IAs, mas nesse ponto ele se confundiu todo; blockchain eh tecnologia, e tecnologia abrevia tarefas e aumenta a produtividade"
494;Faltou falar perdi essa
495;Achei que fosse o Metaverso... bom, vamos para o próximo Hype....
496;"A inteligência artificial veio para ficar. 
Uma solução para o mundo é começar em um controle de natalidade humana."
497;Daqui a pouvo vai ter robo dando aulas, e nós ainda pagando 1 trilhão para sevidores ficarem coçando o dia inteiro, kkkkkkkkkkkkkkkkkk, há o lula conseguiu fazer a proeza de aumentar a divida brasileira mesmo arrecadando mais que o bolsonaro.
498;Nossa e eu achando que a NVIDIA era só placa de vídeo 😂😂
499;caramba, vídeo muito bom, sobretudo a parte de reflexões (a partir do terceiro quarto do vídeo)
500;Infelizmente tudo que foi inventado para o bem, acaba sendo usado para o mal como aviões, drones  e outros .
501;Sou totalmenre contra a I.A. principalmente quando considerono o infinito número de empregos que serão tomados das pessoas, pela I.A.
502;Gn 6
503;Insuportável!
504;Prepareee povooo porque ainda terá chorooooooo e domínio do homem inteligente, poderoso e insano.
505;Não sei aonde o ser humano quer chegar com a tecnologia, mais uma coisa eu sei o ser humano pode até tentar dominar o mundo, mais quem criou o mundo foi Deus e quem domina é ele.O ser humano tá criando a própria destruição com a tecnologia.Oque nos resta é horar e colocar nas mãos de Deus. 🙏🙏🙏🙌🏻🙌🏻🙌🏻
506;Não confio muito nas máquinas, elas como nós podem também errar
507;Se esse lixo é contra, eu sou a favor.
508;Incrivel, estar tudo sobe controle do criador da humaninade, nada passa despercebido dos seus olhos, se ele deixou o humano chegar ate isso, pq tem um proposito, elon musk falar em chips celebrais para igualar homens aos robos e um indicio de fim dos temtos onde sera implantado chips nos humanos, jesus estar voltando !!!
509;Tem muitos mais inteligentes do que eu
510;Por incrível que pareça esses dias eu sonhei que agente tava na época dos robôs e encontrava um robô tão avançado que o robô parecia a armadura do homem de ferro que tem nanotecnologia e outras coisas mais acredito que isso ainda esteja bem longe de acontecer
511;É no mínimo suspeito alguém que fabrica o neuralink afirmar que este produto seria A SOLUÇÃO para a humanidade, vc nao acha???...pra mim o Ellon Musk quer é vender o neuralink!!!
512;Temos que  ensinar nossos filhos a fazer coisas que essas malditas máquinas não fazem..se é que existirá algo 😢
513;Desde q os seres humanos n deixe a máquina operar como um cérebro q o homem como ser inferior, p mim tudo bm pq a máquina pode ajudar ao homem a desenvolver curas d muitas doenças até mesmo aquelas q ainda vão surgir no nosso organismo. Até aí poderia ser útil pq o homem faz a máquina fazer coisas q seres humanos n fazem, mas os seres humanos pode usar o coração, emoção e sentimentos como por exemplo ajudar pacientes nos momentos mais delicados e é isto q todo ser humano busca encontrar a cura, com empatia e reciprocidade.
514;claro que sim será sempre óbvio essa situação de obeccao sempre irá vencer a essa situação de objectiva
515;A primeira coisa da IA seria desativar o botão vermelho
516;Se até o Musk, o MUSK que é a cabeça da IA pediu pausa da IA é pq a coisa está feia
517;Concordo com o musk pois ladrões podem criar um robô alimentado por uma inteligência artificial para ir roubar no lugar dos ladrões.
518;"Quanto mais ""IA"", mais desemprego, mas também mais EX-CONSUMIDORES, chegará uma época para reflexão: Produzir o que pra vender pra quem?  Já existem tecnologias que substituem uma legião de trabalhadores, mas também produzem outra legião de ex-consumidores. Remédio na dose exagerada deixa de ser remédio e passa a ser veneno!"
519;A vrdd é qê, se depender desses poderosos da terra, meros seres humanos normais assim como nós, nunca vamos saber realmente o q é a vrdd, essa é a vrdd...
520;Espero que o ele consiga fazer o que ele prometeu com a Neuralink que seria fazer com que pessoas com deficiência conseguissem a voltar a caminhar.
521;Medo 😢
522;Não temo a inteligência artificial e nem os robôs 🤖  nem os androides ou ciborgues , apenas tenho curiosidade em saber .  Afinal séculos atrás não tínhamos nada . Só o futuro dira a verdade , se é bom ou não ter isso . O mundo cada vez mais tecnológico a cada ano e isso sempre vai ter . É a realidade é a inovação .
523;MUITO BOM IRMÃO !!! VC É UM QUERIDO IVAN LIMA !!!
524;É o fim dos tempos se aproximando meu povo.
525;Porque ele está assustado se ele é um desses que estão fazendo tecnologia pra substituir mão de obra humana. Estão gastando trilhões pelo mundo afora.
526;"O foda q ninguém ver isso acontece
Os artistas visuais já estão perdendo emprego"
527;e de dar   medo  isso tudo , paresse ser algo bom  so  que nao  e algo tenebroso  e isso mim tras   uma grande incegurança  alarme de um futuro destrutivo e em todos sintidos falando.
528;A 💩Já está iniciada! Tarde demais! Logo haverá sérias consequências!
529;Temos  hoje  muita  maquinas   q  facilita  nossa  vida  mas  a  humanidade  não   pode  f  a  mercês   das  maquinas
530;😂😂😂 isso jamais ocorrerá,  uma máquina ter vontade própria
531;💝
532;Lula e a Dima possuem inteligência totalmente artificial, não conseguem destinguir um calango de de um dinossauro.
533;As pessoas se esquecem do blockchain. A AGI poderia se dividir e infectar milhares, senão todos os computadores do mundo, isso resolveria a questão da centralização, ou seja se desligassem os computadores principais ainda assim ela teria capacidade de prosseguir usando a internet e detalhe, com o “escudo” criptografia da blockchain que até agora é algo impossível de ser quebrado
534;Se Elon Musk falou isso é porque o negócio é mais serio do que pensamos
535;Elon Musk quer isso pk ele Tah de fora e quer criar a dele tudo e movido a dinheiro pode aposta que logo ele fará a ID dele isso vai gerar muito dinheiro igual Jah soh ver quanto a Microsoft investiu na ID!!!
536;Meu meu parceiro tá pensando que a vida é filme e
537;Que Deus faça que isso não se concretiza
538;"Assusta tanto que ele pediu uma pausa de 6 meses na alimentação da IA e aí ele foi e comprou trocentas GPUs pra fazer sua própria IA hahahah
Ainda tem gente que acredita no Mosca depois de tudo que foi mostrado após a compra do twitter?"
539;Já pensou? Você com um robô desses dentro de casa é derrepente ele se virá contra vc ,kkkk 🤐🤐
540;É Importante continuar a estudar e desenvolver a IA de forma responsável e ética, garantindo que seus benefícios sejam maximizados e suas desvantagens minimizadas .
541;A inteligência artificial é um perigo contra a humanidade.
542;Elom
543;Si Deus quiser Jesus Cristo você vai i voltar não vai mais robô 🤖
544;O capeta alertando do inferno kkkkkkkkkkkkkkkkkkkkk sempre assim nesse planetinha, o mal portrásdo bem kkkkkkkkkkkkkkkkkkkkkkkkkkkkkka acéfalos
545;"ENQUANTO ISSO NA TERRA DO EXTRAVIO:
CHEGUEI COM UM QUADRO DE DORES NO CORPO,EM ESPECIAL MEMBROS INFERIORES, TTÍPICO DE ANCAMINHAMENTO A ANGEOLOGIA E A DRa. EM QUESTÃO ME ENCAMINHOU A PSICOLOGIA !!!! KKKKKK . SECRETÁRIO DE SAÚDE DO DF: ESSA VERGONHA VAI NO CRÉDITO OU NO DÉBITO ?!!!
SOU PACIENTE ANGEOLÓGICO, JÁ TIVE TROMBOSE,INTERNAÇÃO NO HOSPITAL DE BASE, VÁRIAS CONSULTAS JUNTO A REDE PÚBLICA E PRIVADA E A CLÍNICA VEM COM ESSA ???
JÁ NÃO BASTA O HPAP , HSVP ??? QUE VERGONHA !!!
GRAÇAS A TODOS ELES, OS MEUS IRÃO RESPONDER JURIDICAMENTE POR """""" ABUSO DE INCAPAZ !!!"""" COMUNIQUE O MPDFT , POR FAVOR !??.Cida Oliveira Santos
O HOLOCAUSTO MAÇÔNICO CONTINUA A TODO VAPOR NO DF !!!! SEGUNDA , DE ACORDO COM ELES, ATENDIMENTO TERAPÉUTICO PARA PACIENTE """"ANGEOLÓGICO!!""""
POSTINHO DE VICENTE PIRES: OS EXAMES QUE NECESSITO CHAMAM-SE: DÍMERO D E DOPPLER,MINHAA DOENÇA ESTÁ LOCALIZADA NAS VEIAS E NÃO NA CABEÇA, EMOÇÕES SÃO SUBJETIVAS...PROVAM!!! SR. GOVERNADOR,ATÉ QUANDO ESTAREI A DISPOSIÇÃO DE PESSOAS INCOMPETENTES NO SERVIÇO DE SAÚDE?? MÃO DE OBRA BARATA E FALTA DE QUALIFICAÇÃO? ONDE ESTÁ O MPDFT??? POR MARIA APARECIDA OLIVEIRA DOS SANTOS,CONSULTORA JURÍDICA,MÃE DE ADVODAGO E DE ESTUDANTE DE DIREITO.SEGUNDO ALGUNS PARENTES E O NILCIOMAR, QUE NÃO SÃO MÉDICOS: SREI LEVADA A FORÇA AO HSVP NA SEGUNDA FEIRA E AO DR. EDUARDO. É PIADA? PIOR QUE NÃO!! ESTOU COM FORTES DORES NAS PERNAS E NÃO NA CABEÇA.GENTE DE RABO PRESO , ASSIM COMO ONDE MORO.LOGO, OS MEUS EX MARIDOS E EX NAMORADOS IRÃO RESPONDER POR ABUSO DE INCAPAZ?? BASTA M BEIJO PARA QUE RESPONDAM SENDO EU DADA COMO LOUCA !! MPDFT,ONDE VCS ESTÃO???
BRASIL BRASILIA DF"
546;Concordo com Elon Musk.
547;igual há um filme na netflix chamado:  TAU
548;Vai temina esteminado do futuro vir acho difícil não tudo acontecer
549;"A. MÁQUINA  NÃO  É  MAIS. INTELIGENTE
QUE. OS  SERES. HUMANOS . O. PROBLEMA. É. A
FUSÃO. DAS. MÁQUINAS  QUÊ , FOGEM
AO. ALCANCE. HUMANO ."
550;São os concorrentes dele.
551;"Eu tenho meu ponto de vista que ""SE NÃO PODEMOS COM ELAS ENTÃO NOS UNIMOS A ELAS"""
552;Sinceramente tenho medo, das consequências da inteligência artificial. A raça humana não tem limites em relação as suas ambições, podem usar a AI, para  o bem e para o mal.😢
553;Isso vai dar merda qdo os robôs não entenderem as piadinhas e configurarem como realidade por alguns seres humanos, vai ser trágicos esses bugs 😬
554;Quero só ver quando os robôs destruirão também os seus inventores né que tal o Elton musk com toda a sua tecnologia destruir todas as invenções dessa paranóia exorbitante.
555;Pastor Clovis
556;Ja ti falei sua religiao e sua nao tenho nada com isso eu tenho a minha cuida da sua vida eu cuido da minha amem
557;Depois voce vai ve voce bebado agora voce bebado voce sim bebado nao ela volta sim falo sim sim amem
558;Mizinho i agora nada u que o que a ta a vai
559;Mi ja ti falei si inscreva no seu celular sim pra sigura minha bateria voce e bom agora pro que e nom neca di pitibiribas
560;Entenda mundo na é a inteligência artificial ruim mais o homem q pode usa la para o seus interesses para o mal...
561;Não
562;O ser humano  vai acabar  3 vai chega os robô  aí vai entra o inimigo  com o espírito dele aí eu quero ver
563;"""DESTINTA"" não existe.
DISTINTA sim. 
Um corretor automático ( IA) teria evitado o erro antes que ele acontecesse.
😂"
564;Isso e muito pirigoso pra humanidade.
565;O Mundo ja está fora de controle! Estao pensando que Robôs são sempre previsíveis e controláveis. Engano!
566;Baseado nas noticias, o controle ja está sendo perdido. Será que Nos Perderemos entre Monstros da Nossa Própria Criacao?
567;Assistam The 100 , a terra é destruída pela IA
568;A série the 100 & better than us se tornando realidade
569;Izilda
570;Gosto muito desse tema, tecnologia avançada, mas gosto muito mais do Ivan Lima 🎉❤ nenhuma IA conseguirá ter o carisma,que Ivan Lima tem 😂😂❤
571;Era Criança e escutava meu pai falar o  HOMEM SERA ESCRAVO DAS MAQUINAS.
572;Se o Elton musk fala q ER or ir pra direita er melhor ir pra esquerda. Afinal o qi dele er de um saco de batatas, er tipo o Trump um guaxinim rico.
573;DEUS criou o homem e de seu espírito de vida agora vai o homem e cria robôs aí entra o diabo e lhe dá vida
574;Tudo o que se inventa é  só para o mal nada pro bem comun o q precisa é o Criador fazer tudo q existe é voltar novamente pro nada como era
575;Se o demônio entra em uma boneca e tenta enforcar criança q já vô relato desses imagina um robô  vai ganhar vida de espiritual maligna p destruir tudo
576;Elon Musk, o cara que iniciou o projeto do ChatGPT em 2015 assustado com Inteligência Artificial ? Como assim?
577;Agora é tarde, existem muitos interesses envolvido, principalmente pelos comunistas que já estão mergulhados nessa tecnologia
578;"O Google muitas vezes mente, distorce a História e coloca aquilo que mais lhe interessa; é comprado, chega até apagar verdades, tudo em nome do dinheiro.
Quem vive uma História conhece a verdade, quem não vive ou não viveu, acredita no Google."
579;agora duvido se vao parar .....
580;sempre tem um para fazer mal usar essa arma como robo nos ja era ...nao tem marvel para salvar agente ai ferrou ....
581;Isso aí e só faxada procura ver quem e Alan Musk.    E não se assuste
582;Que louco, isso. Musk colocando foguetes em Marte com robôs, tipo fim do mundo.
583;A única ameaça que temos somos nós mesmos.
584;Estamos vivendo o Prelúdio do Apocalipse.
585;Eu torço para que esses máquinas robotizadas inteligentes possam superar a inteligência dos bilionários e se opor a todos eles gerando um fim deles nesse planeta
586;Lon musk é baita de um malandro, tá tirando o corpo fora de algo que ele mesmo criou, e viva a hipocrisia.
587;Deu até medo 😢
588;"Mano IA é A misericórdia de Deus para Todos seres humanos neste próximo sétimo milênio Sabath-Kadosh! Porque no sábado kadosh nenhum humano deve trabalhar! Êxodo-20:8..11!  Êxodos-35! Deuteronômios-5:12..15! E para cumprir os salmos-136! Robôs e IAs./;;! Apocalípse com misericórdia para humanidade./;;!"
589;AGORA ele quer a intervenção do estado ????!!! Ora ,quem dirá!!!!😒😒😒😒😒
590;Donald Trump mentiu e fez morrer mais gente do que qualquer máquina inteligente e esse Elon Musk nunca disse uma palavra contra. O Twitter é uma das maiores fontes de desinformação e causa de suicídios do que qualquer AI e ele até agora não tomou nenhuma medida a respeito, pelo contrário. É muita cara de pau  dele querer liderar esse movimento contra as novas tecnologias. Só otário pra cair nessa conversa fiada.
591;Elon Musk preocupado é o que me preocupa ou vocês pensam que ele tá mesmo preocupado com o gente?
592;Sei lá... Queria que o atendimento de IA das empresas como claro, vivo, Net, etc fossem  competentes como as IAs dessas matérias 😂
593;Transcendence - A Revolução
594;Isso ai já aconteceu... A estrategia da maquina é deixa agente cada vez menos inteligente e acomodado. Para que assim, fique mais facil a dominacao.
595;"A inteligência artificial tem avançado rapidamente e a possibilidade de criarmos seres artificiais que se assemelhem aos seres humanos, seja fisicamente ou em termos de inteligência, não é mais apenas ficção científica. No entanto, assim como retratado em ""A Ilha do Dr. Moreau"", é importante considerar as consequências éticas e morais de tais experimentos e avanços tecnológicos.
A criação de seres artificiais traz à tona questões como responsabilidade, direitos e liberdades, bem como a possibilidade de que essas criações se tornem ameaças para a humanidade. É importante que, à medida que avançamos em direção a esse futuro, levemos em consideração as implicações éticas e legais de nossas ações.
Como sociedade, devemos buscar equilibrar o avanço tecnológico com a responsabilidade ética e a consideração pelos direitos humanos e dos animais. A ficção científica, como ""A Ilha do Dr. Moreau"", nos fornece uma lente através da qual podemos examinar e refletir sobre as implicações desses avanços e nos preparar para lidar com eles de maneira consciente e responsável."
596;Elon musk a cabeca pensante por tras de tudo se fazendo de bom samaritano abram os olhos👀
597;As sociedades secretas explora,assalta a HUMANIDADE na cara dura e depois culpa qualquer coisa????e isso mesmo????e minha inteligência q lute?????😢😢😢😢😢😢🦾💪
598;Já vemos isso nos dias atuais com a criação do ChatGpt, dão respostas bem elaboradas igual a ser humano!
599;mais um inscrito para o canal fatos desconhecidos um abraço para você meu amigo Ivan Lima sou muito fã seu além disso admiro sua voz de locutor para narrar os vídeos é muito legal e essa história de inteligência artificial eu sou fanático e acompanho todos os dias obrigado abraços
600;O video tava indo bem, ate aparecer a foto do 9 dedos ladrao corrupto safado.
601;Esse avatar faz o que eu quiser..posso usar um para ter uma conta no onlinfas
602;Excelente vídeo,
603;Parece o Felipe Neto kkk
604;Apocalipse 17
605;Boa tarde! Sou deficiente visual. Há alguma inteligência artificial que converta voz em texto. Para que eu possa fazer trabalhos acadêmicos?
606;Google vacilão kkkk
607;Meu pai excitante demais esse assunto, me vem um milhão de coisas na cabeça, agora é botar em prática
608;https://youtu.be/w9NKn-Utspk
609;Daqui a pouco vai ser tudo igual. Tipo trabalho de faculdade. Adeus criatividade humana que ja quase não existia
610;Olá! Dá pra criar uma página de website gratuita com o Canva 😁 O próprio MidJourney permite vc pegar uma imagem existente e a partir dela, gerar uma nova... Gosto bastante de usar o Grammarly...Ótimo conteúdo, agregou d+
611;que vídeo riquíssimo em conteúdo
612;Incrivelmente incrível!!!
613;Adobe Podcast ainda fica muito robotizado nos audios em português
