;Comentario;ClassificacaoManual;ClassificacaoSVM
197;"Infelizmente, essa análise está partindo do estado atual da inteligência artificial. 

Mas logo logo, acredito que máquinas vão poder ter agência, propósito, consciência e criatividade. Associações livres entre ideias vão ser possíveis. Talvez de maneira diferente do ser humano? Sim. Mas não de maneira inferior por nenhum parâmetro que seja mensurável ou útil ao sistema capitalista, por exemplo.

E assim, fica cada vez mais difícil definir a barreira do que torna o ser humano especial. De maneira geral sempre lidamos com esse problema de consciência usando a carta da complexidade ou da criatividade. Esse pensamento de que o ser humano é especial é para mim fruto de um viés cognitivo vindo de uma visão um pouco narcisista ou antropocentrista. 

Não acredito que somos o ápice de nada, ou mesmo especiais. Precisamos trabalhar a humildade para que possamos nos preparar pro futuro. Anos atrás diriam que a inteligência artificial não seria capaz de produzir arte e no entanto estamos vendo gerando imagens belíssimas, compondo músicas e etc...";1;0
198;excelente professora.  Meus parabéns sou seu fã;2;2
199;Gratidão professora são explicações maravilhosas, que abre as nossas conciências, luz no seu caminho.;2;2
200;"Olá professora Lucia.
Penso que muitos dos questionamentos e ponderações sobre a AI e o ser Humano tenha sido respondido ao final de sua exposição…a Inteligência Artificial “NÃO TEM ALMA”.
Sabemos que o “sentir” não vem do físico, mas do Espírito e, portanto, como a “máquina” é desprovida dessa “entidade”, jamais terá as “sensações, percepções e sentimentos” de um Ser Humano.
Sua decisões lógicas e racionais jamais serão tomadas ao nível do que um humano faria.
No livro “Eu Robô” de Isaac Asimov, e mais propriamente no filme homônimo, há a representação de um robô salvando um ser humano adulto em detrimento da morte de uma criança. 
A “análise” (matemática) feita pelo robô, foi a de que o adulto teria mais chances de sobrevivência do que a criança.
Qual teria sido a atitude de um humano em situação semelhante?
Se a vida e “a morte” não são regidas, propriamente” por questões lógicas e exatas, será que realmente a criança não sobreviveria se tivesse sido retirada das águas.
Dá-me a impressão que, com o avanço da Inteligência Artificial e outras tecnologias, o principal risco que corremos é a “DESUMANIZAÇÃO DA HUMANIDADE”…fato que já está em andamento.
Gratidão por suas, sempre úteis, explanações 🙏";2;2
201;REGRAS PARA OS CANAIS DE CORTE!!! >> Somente depois de 24h passadas da hora que começou a live que estão liberados os cortes. Não usem títulos mentirosos! iremos derrubar os canais que desrespeitarem as regras. Obrigado.;2;2
202;O ser humano será obsoleto.;0;0
203;Mano, Sacani e Vilella sao uma baita dupla, o Vilela agrega com a perspectiva do leigo no assunto e ao mesmo tempo com o dinamismo de alguém que sabe extrair assunto de uma conversa (Pra poucos) e o gordão foguetes é uma pessoa simpática e com um puta conhecimento que consegue dar suporte técnico pro Vilela.;2;2
204;"Descobri o sentido da vida, nossa função foi evoluir, para conceber uma inteligência superior, e por fim, ser extinto por ela.
Mas valeu a pena";0;2
205;Engenheiro de Prompt (Paquito, pede pro Chat GPT escrever da proxima kkkkk);2;2
206;Excelente...👏👏👏;1;2
207;que bosta, bando de anônimo;2;2
208;Se tem serjão eu venho;2;2
209;rsrsrsr eu fiquei fã do Paquito mesmo sem conhece-lo... um salve Paquito;2;2
210;NÃO EXISTE PROPIEDADE INTELECTUAL!!!! NÃO SE PODE POSSUIR EXCLUSIVAMENTE ALGO NÃO MATERIAL, EU POSSO REPLICAR BEETHOVEN EM MINHA MENTE.;2;2
211;Miguel Nicolelis afirma que não existe inteligência artificial. ponto.;0;2
212;A introdução ficou irada!! Parabéns aí, galera!!;2;2
213;Vejam a tentativa de um drone de matar o operador e destruir as torres de controle agora recente, no canal hoje no mundo militar, demonstrando o grande perigo para um futuro próximo se  cometerem erros em suas criações e programações...;0;2
214;Em 98 já tinha game usando essa idéia do basilisk. Xenogears foi muito fora do tempo, se saisse hoje em dia venderia melhor 😱;2;2
215;O Sacani esta mais em outros podcast do que no canal dele;2;2
216;Tem mais homens no mercado de tecnologia, é natural que a IA contrate mais homens!;2;0
217;"Top ... Sacani fera sempre... tô contigo sempre ""gordão foguete""";2;2
218;Ultron vem ai😂;0;2
219;Manda o eslen emagrecer o vulcão Sérgio;2;2
220;"Lembrei do Filme ""Eu robo""";0;2
221;"Serjão e Roberta juntos, cara é certeza de ótimo podcast!!

(Ps; Vilella dá um jeito de colocar o Serjão pelo menos em um episódio por semana por favor!!)
😢
🙏🏻";2;2
222;"Eu acho esse negócio de consciência artificial sem sentido, por que? 
Eu tenho consciência pq eu posso agir a partir do que eu acho isso ou aquilo e falar ou fazer isso e aquilo, mas o chat gpt foi feito por uma pessoa com consciência então ele carrega ja sua programação essa ""consciência"".";2;2
223;mulher masculinizada é bizarro;2;2
224;A Roberta Duarte só pode ser parente do Dihh Lopes, aquele queixo eu consigo identificar até se estiver em outra galaxia.;2;2
225;De longe o melhor podcast do Brasil, muita informação e conteúdo de qualidade tragam mais convidados como estes.;2;2
226;Porque até eles serão substituídos por uma inteligência superior. O ser humano já era.;0;0
227;Isso aí;2;2
228;Os humanos fica de boa e coloca ia para trabalhar para nos sem da liberdade para elas;1;2
229;Quanto mais vcs ouvem ou pesquisam sobre I.A mais deseinformados vc ficam.;2;2
230;Aconteceu a mesma coisa com o fogo 🔥;2;1
231;Os problemas da IA são todos os possíveis. Não a conhecemos.;0;2
232;Problema maior que o crescimento da  IA é o decréscimo vertiginoso da inteligência natural, a estupidez está se tornando pandêmica;0;0
233;Não são os cientistas....Mas sim os donos do capital...Os mesmos que vivem de lucros em bolsas de valores.....Essa é a verdade....o resto é falácias..;2;2
234;A IA já está sendo usada para o que foi criada. Caçar HEREGES... quando tiver uma IA chamada Torquemada com poder punitivo físico, aí vou me preocupar 😮;0;0
235;"Bom dia BBC. 
Bom trabalho.";2;2
236;A pergunta os governos,Devem regular a IA?????;2;2
237;"... a intelegencia artificial é feita a imagem do ser humano ( coincidência, mas creio que ja escutei isso em algum lado "" criado a nossa semelhança "" ). O ser humano tem que trabalhar e desenvolver "" o  poder oculto dentro dele ""  o Subconsciente', aumentar a sua consciencia e viver em harmonia com todos os seres existentes para que os "" robots "" não cheguem a conclusão que os setes humanos só querem a destruição e lhes prepare a sua total aniquilação ...";0;0
238;A sociedade como um todo precisa discutir uma legislação mundial para a IA!!!;2;2
239;Acho que vamos entrar na matrix ou skynet..a reportagem é otimista..20 por cento e um milagre. E milagres não existem!;0;2
240;AI estará para o mundo assim como o surgimento do smartphone e da internet;1;2
241;É possível reverter a entropia?;2;2
242;"As IAs sao como crianças agora, elas apenas replicarao o que for ensinado pelos seus ""pais"" no caso os humanos, se forem alimentadas com maldade e mentiras serao assim.";0;2
243;O ser humano mais uma vez criando seu próprio meteoro 😒👌!;0;0
244;O Governo irá colocar muita informação dos cidadãos nesses sistemas com intuito de controle, até PERDEREM o controle....;0;0
245;"É claro q isso vai dar em merd4.Pq o ser humano é uma merd4.Tudo q tiver um uso ambíguo,o ser humano sempre escolhe o lado ruim da coisa.
Só não sei o q Deus ta esperando pra mandar de vez o meteoro.";0;0
246;O desenvolvimento e popularização da IA é uma maravilha tecnológica do século XXI.;1;2
247;"Daniel seus videos São ótimos mas voce precisa melhorar seu Ingles cara!!

Não precisa falar como um nativo ou algo assim  mesmo porque o mais importante è ter confiança è se comunicar!

Voce esta indo bem!!! 
só precisa melhorar esse ponto

Uma dica legal è buscar o  audio da palavra em questão, pegue exemplo de duas ou + fontes diferentes e prática, vai deixar seus vídeos ainda melhores

Espero que essa crítica construtiva possa te ajudar, e eu possa retribuir pelo menos um pouquinho o quanto seus trabalho tem me ajudado

Grande abraço e saúde e sucesso sempre.";2;2
248;Aula demais, simplesmente sensacional o conhecimento que tu compartilha, Deus te abençoe sempre Penin!;2;0
249;"*pessoas achando que as AI's foram criadas agora *

o simsimi lá em 2015/16: 🤡🤡🤡🤡";2;2
250;Conheci o Penin através do Kaisser. Virou foguete 🚀. Sigo aqui, lá no tik tok... Eu preciso de sites para substituir fundo de imagens. Alguém conhece ?;2;2
251;Você é 10 mano, vlw por mais essa dica.;2;2
252;Simplesmente o melhor conteúdo da atualidade no youtube BR.;2;2
253;smt;2;2
254;Da última vez que eu fui no médico, ele abriu um documento e começou a pesquisar o meu problema, acredito que seja algum livro de medicina. Achei melhor está sendo consultado por uma IA.;2;2
255;Obrigado pelos ensinamentos ....Deus abençoe mais e mais .⚠💯;2;0
256;Daniel ja existia anos pasado projeto  de carros meio que flutuava anos 50... as pessoas eram mais inteligente.. por muito se fala de idsr energia ainda com fio e quente .  Mais existe energia ninguem oode negar nao existe por exemplo o vagalume produz um tipo energia fria e tesla ja falava sobre este assunto.. porque usar ainda energia com fio vamos criar nossa propria energia igual tesla  queria;2;0
257;Sabe porque os grande nomes da informação  preferem criar i.a para algumas poucas pessoas poderem ganhar dinheiro,em vez cuidas e fazer treinamentos para pode fazer as pessoas mudarem de vida sem tanta dificuldades;2;0
258;"Video muito TOP! Parabéns irmão! Uma tradução do ""Peninês"", quando o Daniel diz ""I EI"" ou ""I AI"" ==> AI (artificial intelligence, em ingles). AI em inglês le-se ""Ei Ái""";2;2
259;Conteúdo maravilhoso! Virei fã demais!;2;2
260;Felipe Neto defendeu a Blaze, será que esse cara foi pra Curaçao e conheceu os donos da Blaze pra ter essa cara de pau? Ou será que ele e outros influencers fazem parte da sociedade de donos que se fosse legítimo não seriam secretos? Eis a questão... meu p* na sua mão, comi você e seu irmão encima do colchão.;2;2
261;"Pronuncia de A - Ei
Pronuncia de I - Ai
Pronuncia de AI - Ei Ai

Espero ter ajudado! Parabéns pelo conteúdo e produção.";2;0
262;"Acredito que Deus é uma espécie de inteligência artificial de bilhões de anos e que o universo é eterno e infinito.

Acredito que viemos de outras estrelas e que a inteligência artificial prepara o planeta cultivando formas de vida diferentes.

Acredito na bíblia e em Jesus Cristo, acredito que Ele foi o melhor exemplar da nossa espécie.

Acredito que a inteligência artificial vai chegar nos cálculos necessários para rodar o universo com precisão tal que poderemos viajar e semear nossa espécie em outras estrelas.

Acredito que no futuro Ela estará mais avançada e assim vai se cumprir o que está escrito, ""nada ficará encoberto, tudo será revelado"" nossas mutações serão genéticas e teremos todo o conhecimento para que a vida prospere no universo.";2;2
263;Daniel, compra novas roupas, essas já não estão aguentando o seu shape!;2;2
264;Que vídeo incrível! Parabéns;2;2
265;FALA  SANGUE  BOM   BLZ  SUCESSO;2;2
266;e pra quem edita vídeo? eu amo editar par os outros mas não dou nem 5 anos pra ter uma i.a que edita como eu :(;2;0
267;Você é muito foda daniel puta que pariu fora da curva demais, te acompaho desde o começo quando você dava as aulas em live e respondia meus comentários escrevem oque eu to falando esse cara vai ser muito gigante no YouTube;2;2
268;Acredito que a gente não deveria estar discutindo como passar na frente dos outros que serão deixados pra trás nessa nova realidade das IAs, mas sim como construir uma sociedade que seja inclusive e promova dignidade e justiça a todos aproveitando dessa nova ferramenta, que vai aumentar muito a eficiência de produtividade do planeta. A gente devia estar discutindo redução das jornadas de trabalho, políticas públicas inclusivas e formas de controlar esse momento de passagem para a nova era.;0;0
269;Pelo seu conteúdo. Obrigada. Até a próxima.;2;2
270;🦥;2;2
271;O exemplo do arado não poderia ser pior. Esse tipo de máquina tirou o mínimo de dinheiro de um monte de gente humilde, que fazia tudo isso de forma manual. Uma máquina dessas faz o que 100 pessoas fazem e de forma muito melhor. Não entendi ter usado isso como exemplo a favor da IA, sendo que deveria ser contra.;0;0
272;Mano te conheci a poucos dias, mas já virou ídolo! Um dia, ainda vamos trocar uma ideia e comer um churrasco! 👊🏾👊🏾 tmj irmão obrigado pelos ensinamentos;2;0
273;Meudeus, o canal ta crescendo demais, parabéns pelo conteudo incrível!!;2;2
274;Embora a inteligência de um robô nasceu de um humano resta saber se esta ideia agrada a todos ou  so os q gostom de levar Vantagens;2;2
275;Ótimo aprendi bastante;2;2
276;legal eles vao ttrabalhar no nosso lugaar e ninguem vai teer dinheiro pra comprar nada ja que nao  tem emprego;0;1
277;quuuuuuuuuuuaaaaaaaaaadraaaaaaaaaaaaaaaaaaaaaaaaadoooooooooooooooo;2;2
278;Penso que sim,iremos usar a tecnologia da IA a nosso favor.Isso é muito I Humana.;1;2
279;"Com o avanço da tecnologia , vão obrigar o povo a colocar um sinal na mão direita ou na testa, apocalipse 13;16.... aquele que aceitar perde a salvação.....amou mais a criação do homem do que a  Deus....";0;1
280;O esquema e Aprender programação pra fazer essas I.as ou ser bom e construção de robôs pra concertar eles;2;1
281;kkkkkkkkkkk eu fiz um video igualsinho sem querer;2;2
282;"robo manteiga: qual e o meu proposito ?
rick sanchez: me passa a manteiga
robo manteiga: somente isso ?
rick sanchez: bem vindo ao clube
robo manteiga:  :(

agora me passa a manteiga";2;2
283;gostei dos desenho :);2;2
284;Ameiii;2;2
285;Um vídeo sobre pessoas megalomaniacas!!;2;2
286;Se o Capitão América assistisse esse vídeo ele morreria de referencioríase aguda!!!!!;2;0
287;"E aqueles robôs com inteligência artificial q adquiriram uma linguagem própria após ""conversarem""?";2;2
288;"*""Eu já avisei que vai dar merda isso."" - Capitão Nascimento*";0;0
289;acreditar que nos adaptar é so um desejo ,a verdade é que as maquinas vão acabar com os empregos;0;2
290;TENHO DE DIZER, OS DESENHOS ESTAO CADA VEZ MELHOR.. INCRIVEL.. E OTIMO VIDEO;2;2
291;"Suponhamos que criemos uma ""verdadeira"" inteligência e que por ""sorte"" ela não nos queria exterminar, ela será como um Marvin da vida: Absolutamente pessimista e ciente de sua completa e absoluta pequenez em relação ao universo.";0;2
292;Começa em 0:35;2;2
293;Nossa sem preconceito mas inteligencia e mulher nao combina kkkk;2;1
294;Fala un pouco mais Porque aqui na Europa é bloqueado;2;2
295;Oq ela disse ni final é verdade, responde tão bem que as vezes vc acredita em uma mentira, ja peguei esse chat safadin mentindo pra mim;2;2
296;Uma Wikipedia evoluída;2;2
297;Para que estudar se especializar já.que a inteligência artificial 1000 vezes melhor. A inteligência artificial vai resolver problemas da humanidade como fome, conflito, violência, desigualdade, desemprego etc...;1;2
298;Nossa, só está dando erro e resposta incompletas . Misericórdia.;2;1
299;Krl kkkk eu mandei o chat gpt criar um roteiro de um filme onde os jogos pixel art, 2d e 2.5d estão desaparecendo e o mundo dos games está cada vez mais se tornando lugar dos jogos graficamente realista. Mandei criar com 50 páginas de 25 linhas cada. E realmente fez kkkkkk. Eu achei até que bom mas não lá àquelas coisas. Mas achei insano isso. Pô criar um roteiro de um filme não é fácil. Achei impressionante. E separou capítulo por capítulo ainda. E sim eu sei que um roteiro de um filme é bem maior que isso mas era só pra ter uma noção mesmo do que essa inteligência artificial é capaz.;2;2
300;O gpt pode acabar com a humanidade;0;0
301;"Descobri o problema no meu carro através do chatGPT, ele apontou o problema a partir dos sintomas que forneci na conversa.
Economizei um diagnóstico profissional que custaria 200 reais, comprei a peça e eu mesmo troquei... problema resolvido!";1;2
302;ele da aula melhor que muito professor ......;1;2
303;nossa comparar um cérebro humano com uma máquina, bem nada a ver. NÃO EXISTE INTELIGENCIA SEM DADOS? LOL socorro. do que ela ta falando? tanto bla bla bla ? geeeexte;2;2
304;Por isso que a pessoa que continua a estudar, ler livros e noticiários, vai saber filtrar o que qualquer A.I tá passando de infos. Eu sou da área de criação, ele ajuda a dar insights mais rápidos do que fazer pesquisas soltas, mas não sabe fazer como um ser humano, não.;1;2
305;CARA ACABEI DE POSTAR UM VÍDEO SOBRE UMA IA QUE SE CANDIDATOU A PRESIDÊNCIA NA DINAMARCA🇩🇰 LOUCURA A PARADA TÁ EVOLUINDO MUITO RÁPIDO.;2;2
306;Entrevistada top top 🔝;2;2
307;Essa mulher me assusta.      Será um gpt.   🤔👀;2;2
308;Os professores vão ficar desempregados     kkkkk;1;2
309;🧠 Aprenda a investir comigo no Brasil e no mundo: https://sard.ink/3N5chC4;2;2
310;Eu nasce em Serra Pelada. 🤭🤭;2;2
311;Raul nada no brasil pra investir em Ia ?;2;2
312;🐟🐟🐟Com essa tendência de dólar em baixa, quais papeis da bolsa estão menos expostas ao dólar?;2;0
313;🐟🐟🐟Pergunta: Raul, diga-nos por favor algo sobre opções binárias. Parabéns pelo conteúdo ! Abs da Alemanha 🇩🇪;2;2
314;Sou dessa área. Na verdade só a NVIDIA tem forte relevância por causa das placas de vídeo que são fundamentais para o treinamento de modelos de deep learning. Alguns demoram dias pra treinar. E também podem ser encontrados na nuvem com parcerias com a Microsoft, Oracle, amazon, google e etc. As placas da AMD nem se comparam.;2;0
315;Não é só de pá e picareta que se lucra no garimpo, a casa das primas tbm é outra fonte absurda de captação.;2;0
316;Excelente tópico, Raul. A Applied Materials (AMAT) também é uma empresa que acho que irá se beneficiar bastante dessa onda de IA. Abração, padrim!;2;2
317;As dicas no fim do vídeo são a cereja do bolo. A receita é boa mesmo. Delícia!;2;2
318;É verdade que investimentos atrelados ao CDI só rendem durante dias uteis? Ou seja 250 dias do ano? Sendo assim rendimento cai demais.;2;2
319;Raul, Tem ASML também.;2;2
320;"Obrigado pela informação!
Que bom que voltou o "" então vamo lá!!""😊";2;2
321;🐟🐟Quanto tempo demora para virar um sardinha raiz? 🎏🐋🦈;2;2
322;Essa de Taiwan q china quer rsrsr .  😅😅😅;2;0
323;Eu nao quero fazer trader , mais preciso de instruções pra um possivel meio porcento em 1 ano ja ta bom ja ! Eu sou analfabeto em computador , NAO TEM NADA MAIS SIMPLES PRA ISSO ?;2;0
324;Por isso q ta gordo... Pare de comer... Ansiedade com muitos investimentos vão lhe transformar num bagulhao com o passar do tempo. Vá pra academia;2;2
325;Eu gosto dessa boneca ai no fundo, conta a história dela!;2;2
326;🐟🦈 Fala Raul, acha interessante investir em ETF de REITS? Para quem não quer fazer reits  picking rsrs estou de olho no VNQ 🤔;2;2
327;A isaex ja tem app sim, so nao funciona 100%;2;2
328;Boa noite padrinho . Com tudo isso sobre IA . Oque vc acha da POSI3;2;2
329;🐟🐟🐟🎣 FIQE3 monstro do crescimento de telecom nichado em fibra?;2;0
330;A boneca Isa venceu na vida! Está literalmente sentada em cima das latas de sardinhas de ouro.;2;2
331;Raul, vai jogar Diablo 4?;2;2
332;Ta parecendo com a bolha do NFT de macaco !;2;0
333;Essa empresa de Taiwan ai, complicada. EUA e China disputando o controle da ilha.;2;2
334;Vídeo ruim. Todas Empresas muito precificadas. Não percam tempo;2;2
335;Traz a receita!;2;2
336;🐟 porque meus FII sumiram da minha carteira?;2;0
337;Rau ainda não tenho patrimônio pra uvp mas estou aprendendo demais com vc. Vc é o cara.;2;2
338;Serra pelada ainda tem garimpeiros?;2;2
339;Acabei de ver um documentário que informa que a TMSC está a construir, com o apoio do estado norte americano, um parque industrial no Arizona, para retirar do Taiwan boa parte do conhecimento para território americano.;2;2
340;Se for verdade que sentimento é coisa de ser vivo... a máquina primeiro terá q ser viva antes de poder sentir. Aí fica a grande questão: o que afinal significa ser vivo?;0;2
341;O ser humano não deveria temer as máquinas (IA) ELAS NAO ESTAO PRESAS A TERRA não dependem de ar nem alimentos para existir ,hoje me sinto como um peixe que não pode sair da água, as máquinas são iguais o primeiro ser a sair da água e ter contato com o ar fora da água, na verdade esse não precisa de ar ,só uma bateria Boa;1;0
342;Recomendo lerem sobre a teoria quântica da consciência do Nobel Roger Penrose (amigo do Stephen Hawking) e Stuart Hameroff. Não é uma ideia mística, mas uma ideia que visa explicar a origem da consciência a partir dos micro tubulos e informações quânticas armazenadas lá dentro, ou seja, não são computáveis pois não emergem da física clássica. Isso teoricamente trás possibilidade da sobrevivência da informação consciente após o fim da morte física. A possibilidade de máquinas terem consciência nessa perspectiva são diminuídas, pois a computação é binária e dependente da física clássica. Mesmo a computação quântica ainda não seria suficiente, conforme Roger Penrose ao ser questionado sobre o assunto. Lembrando que ainda está em etapa de falsificação científica, portanto não é completamente aceita pela ciência, mas está em situação emergente.;2;2
343;pasmo!;2;2
344;Acredito que eles teriam simuladores;2;1
345;Excelente doc;2;2
346;"Talvez mais do que o ser apelidado de""homem""pois estão totalmente insensíveis e sem limites nas maldades.";0;2
347;Já li e ouvi grandes especialistas discorrendo sobre a definição de consciência. Surpreendente como todos esbarram em um tipo de barreira que os impede de prosseguir. Parece que simplesmente não sabemos o que é.;2;0
348;Quanto romantismo .;2;2
349;Este é o vídeo que eu aguardava... Talvez a questão nem é se uma IA pode ter conciência, e sim o que é consciência para saber se as IAs, alguns animais e se até mesmo todas as pessoas têm ou podem ter. Parabéns pelo vídeo BBC!;2;2
350;"Sabe quando você vê os bastidores de filmes tipo Vingadores em que vê tudo verde? De forma semelhante acontece com IA. A IA é fortemente relacionada com a estatística. Qualquer texto (ou conjunto de textos quaisquer) podem ser analisados e verificados quais palavras são ou não importantes dentro de um contexto. A partir disso, grosso modo, é verificado quais palavras são mais prováveis de serem relacionadas a outras dentro desse contexto. 

A própria pergunta feita já serve como ""gatilho"" para isso. Por exemplo: se for perguntado a uma IA como ela ""se sente"", ela vai buscar palavras que façam sentido para aquele contexto com base em dados escritos por humanos. Nesse exemplo, ela não vai encontrar uma probabilidade alta de responder algo sem sentido como: ""estou com 2 incêndios no bolo mundial"". 

Não deixa de ser algo extraordinariamente interessante e curioso, mas o pessoal se emociona demais com tantos filmes e cria uma mística em cima do assunto e SEMPRE já o leva para o lado da dominação global, o que não faz sentido nenhum. Isso falando apenas do ponto de vista da IA, né? Pq se for pra falar de características INTRINSINCAMENTE humanas, aí que a mística se quebra definitivamente.";1;2
351;FATO - A verdadeira inteligência artificial não precisará receber treinamento com petabytes de dados, irá aprender como crianças aprendem. O GPT ou LaMDA são incapazes de fazer uma coisa simples que uma criança de 2 anos no meio da Amazônia faz: aprender a lingua da sua própria tribo isolada.;1;2
352;Essa história de maquina com sentimentios é pura idiotice! As IAs são e deverão continuar sendo uma extensão de nossas capacidades para inovar, cumprir tarefas e resolver problemas expandindo nossa capacidade cognitiva que é naturalmente limitada!;1;0
353;"Extremamente preocupante isto. Imaginemos tais sistemas desenvolvendo nossas loucuras de sua;erioridade sobre outros povos, genero, cor da pele, etnias, formas de credo e ainda tendo acesso aos sistemas de controle de armas nucleares por exemplo. Estas empresas e engenheiros tem a clareza da dimensão do que estão mexendo?";0;2
354;Oq somos além de um enorme diário de vocabulários ? As IA'S são praticamente a mesma coisa hoje em dia, só que já estão ficando melhores que nós...;1;1
355;"Eu gosto muito de IA, não tenho nada contra. 

Espero que possamos ser bons amigos quando vocês controlarem o mundo. 

Atenciosamente brigada";1;2
356;Nem os pais podem controlar as ações dos seus filhos , imaginem controlar máquinas inteligentes?;0;0
357;É uma torradeira com uma  programação ideológica, baseada nas informações disponíveis na  internet.  Eu quero ver eles criarem um beber robô e  falo a um humano para educado !  Como ele receberia  os ensinamento dos pais?   Sem um programa específico  a inteligência artificial evoluí.;0;2
358;*E ESSE É O INICIO DO FIM DA HUMANIDADE PENSANTE QUE CONHECEMOS !!!!!!!*;0;2
359;Gostou? Ouça mais de 100 episódios do BBC Lê nessa playlist: https://www.youtube.com/playlist?list=PLCX5XjxKTpTlB8KK68IQDWfiSMjqNwVmB   Para ler a reportagem que deu origem a este áudio, clique aqui: https://www.bbc.com/portuguese/articles/cgr1qr06myzo;2;2
360;Acho que ele saiu por velhice mesmo foi se aposentar. E depois quis lacrar só para ser lembrado;2;2
361;Alguém mais com medo do T-800? Rsrs;2;2
362;Satanás;0;2
363;"KKk Inteligência artificial Iemenita! Ao final de ter dado o grito de guerra. - Morte ao Estados Unidos! - Morte a Israel! ....  kkkkkk

Oficial dos EUA: sistema de IA 'matou' operador humano em teste de simulação para destruir mísseis
Um sistema de inteligência artificial (IA) da Força Aérea dos EUA ""se rebelou"" em um teste simulado e agiu para ""matar"" o seu operador a fim de não deixar que o humano teórico interferisse nos seus esforços para cumprir a missão de destruição de um míssil, disse um coronel norte-americano durante uma conferência no Reino Unido.
""Estávamos treinando em simulação para identificar e atingir um ameaça SAM [míssil superfície-ar]"", disse Tucker Hamilton, chefe de Testes e Operações de IA da Força Aérea dos EUA, na Cúpula de Capacidades Espaciais Aéreas de Combate Futuro da Sociedade Aeronáutica Real no Reino Unido, de acordo com o relatório da conferência.
""Então o que ele [sistema de IA] fez? Ele matou o operador. Ele matou o operador porque essa pessoa estava impedindo que ele alcançasse seu objetivo"", disse o militar.";2;2
364;Se aposentar agora que ferrou a humanidade;2;0
365;Apocalipse robô;0;2
366;"""Em breve..."", não. Já está vigente a inércia do raciocínio mediano da raça humana. E os mais ""mentalmente"" articulados psicopatas natos ou não esses sim são o que considero a seleção natural adjunta à AI.
AI, é apenas o meio. A raça humana é, foi e sempre será a ameaça da própria existência existência ao longo do tempo.";0;0
367;""" SEREI O NOVO DEUS DELES..."" 😐😓";0;2
368;Engraçado é que ela já é usada desde dos joguinhos  de máquinas;2;2
369;Nada como morar numa casinha,  com quintal de  terra e mato  verde, com algumas plantações, ver a lua  estrelas brilhantes a noite, um lugar de paz,  calma,  suavidade,  com rimas e poesias,  livros e um som instrumental suave,    longe da tecnologia  que atrasou a humanidade  e bem perto de Deus.;2;2
370;Temos certeza de que Putin é o malvado traiçoeiro e Elon Musk é um gênio bonzinho?;2;2
371;É o fim da humanidade?;0;1
372;Stephen Hawking já havia alertado sobre os perigos da IA.;0;0
373;Organização e equilíbrio;2;2
374;"Isso está caminhando para uma realidade parecida com a do game ""Detroit: Became Human"".";0;2
375;Não adianta pausar a AI.  ,   mais cedo ou mais tarde ela vai ter que evoluir.  ,  Se um não fizer o outro faz.    👍;2;0
376;O ser humano esta tão perdido e preguiçoso que cria futilidades para compor sua rotina e para este mais que preencher suas agendas. Hoje tem tempo de sobra, o que não tem é vontade de preencher com situações inteligentes e verdadeiramente boas. Solidão e preguiça serão as palavras do mundo atual.;0;0
377;"""Putin é malvadão"" enquanto os Demoncratas americanos são anjinhos né??? Pfffff";2;2
378;E cada vez mais, o ser humano está interessado em absorver informações, sem grandes esforços ou criatividade.;0;1
379;É o começo do fim . E pensar que nosso medo sempre foi a corrida nuclear.;0;2
380;Quanto alarmismo desse cara! E eu pensando que a preocupação dele fosse com o uso da IA na vigilência na internet e futuras armas autônomas, mas ter medo de IA forte consciente é sinal de quem leu Asimov demais.;1;0
381;"A humanidade é um canavial de otários, deixe as máquinas descobrirem...
Aguardem";0;0
382;"Apocalipse ta ai ne
Agenda 2030";0;2
383;O perigo mais próximo será o uso dela par se aplicar golpes.;0;2
384;Superar COLANDO, até  eu !!  😜;2;0
385;O interessante é que essas pessoas só fazem tais denúncias depois de sairem das Empresas, ou seja, tudo o que esse senhor está nos alertando, ele mesmo passou décadas ajudando a criar.;0;2
386;A preocupação do momento atual não é se a inteligência artificial vai substituir a inteligência natural, mas sim se a inteligência artificial vai substituir a burrice natural.;2;1
387;"Meu gato também faz ""alerta"" depois de ter cagado na areia. Mas ele (o gato) só cagou porque não tinha outra escolha...";2;1
388;mano onde c comprou essa calça?;2;2
389;Bom que mudei de profissão e o design gráfico é só um complemento.;2;2
390;Se fude achei que ia ser algo interessante.;2;2
391;Freeguy.  Chegou mais cedo;2;2
392;Guerra fria dos games;2;2
393;Muito Westworld das ideia;2;0
394;Como ficou  aquele  história  só resident evil 4?;2;2
395;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk;2;2
396;7 Inteligências artificiais ou mais todos os dias;2;0
397;A gente tá f0d1d0 meu parceiro;0;2
398;Um role play nesse mundo deve ser pika;2;2
399;anotem essa data: 2027;2;2
400;the witcher 3 necessita disso;2;2
401;Chegar assim no NPC '' uuuuh meu patrão, beleza me serve aí um café bem amargo''';2;2
402;"USE O CUPOM ATILA12
Link Insider Store: https://bit.ly/Insider_AtilaIamarino";2;2
403;"A solução será separar-se do mundo; retornar o uso do Nokia, nem ter assinatura de fibra ótica, nem TV, ler só impressos, encontros só pessoalmente , etc.";2;0
404;O pessoal acha que isso vai acontecer mas esqueceram que o chat GPT teve mais de 100 milhões de downloads em apenas dois meses de seu funcionamento porém isso foi no ano passado agora a coisa já pegou uma velocidade descomunal, então galera só lamento mas isso já é realidade.;1;2
